Nome,Preço,Marca,Categoria,Preço_02-05-2025,Preço_10-04-2025,Preço_13-04-2025,Preço_24-04-2025,Preço_30-04-2025
"Achocolatado Em Pó Nescau Fator Crescer 1,02kg","R$ 28,99",Nescau,Bebidas matinais,"R$ 28,99","R$ 25,99","R$ 25,99","R$ 25,99","R$ 28,99"
Achocolatado Em Pó Nescau Fator Crescer 200g,"R$ 8,99",Nescau,Bebidas matinais,"R$ 8,99","R$ 8,99","R$ 8,99","R$ 6,29","R$ 8,99"
Achocolatado Em Pó Nescau Fator Crescer 370g,"R$ 11,99",Nescau,Bebidas matinais,"R$ 11,99","R$ 11,99","R$ 11,99","R$ 11,99","R$ 11,99"
Achocolatado Em Pó Nescau Fator Crescer 550g,"R$ 16,89",Nescau,Bebidas matinais,"R$ 16,89","R$ 14,99","R$ 14,99","R$ 14,99","R$ 16,89"
Achocolatado Em Pó Nescau Fator Crescer 670g,"R$ 23,99",Nescau,Bebidas matinais,"R$ 23,99","R$ 23,99","R$ 23,99","R$ 16,79","R$ 23,99"
Achocolatado Em Pó Nescau Leve 350g Pague 330g,"R$ 10,89",Nescau,Bebidas matinais,"R$ 10,89","R$ 9,99","R$ 9,99","R$ 7,59","R$ 10,89"
Achocolatado Em Pó Nescau Leve 550g Pague 500g,"R$ 13,62",Nescau,Bebidas matinais,"R$ 10,99","R$ 14,99","R$ 14,99","R$ 13,62","R$ 13,62"
Achocolatado Em Pó Nesquik Morango 380g,"R$ 18,99",Nesquik,Bebidas matinais,"R$ 18,99","R$ 18,99","R$ 18,99","R$ 13,29","R$ 18,99"
Achocolatado Em Pó Ovomaltine 300g,"R$ 22,99",Ovomaltine,Bebidas matinais,"R$ 22,99","R$ 22,99","R$ 22,99","R$ 22,99","R$ 22,99"
Achocolatado Em Pó Toddy Light 380g,,Toddy,Bebidas matinais,,0,0,,"R$ 18,79"
Achocolatado Em Pó Uni Sabor 300g,"R$ 5,79",Uni Sabor,Bebidas matinais,"R$ 5,79","R$ 5,79","R$ 5,79","R$ 5,79","R$ 5,79"
