Nome,Preço,Marca,Categoria
Cápsula Pilão Espresso Tradicional Com 10 Unidades,"R$ 16,99",Pilao,Café
Cápsula TRES Espresso Atento Com 10 Unidades,"R$ 23,99",TRES,Café
Café Cassiano Tradicional A Vácuo 500g,"R$ 32,99",Cassiano,Café
Café Solúvel Nescafé Tradição Forte 40g,"R$ 6,79",Nescafé,Café
Cápsula Nescafé Dolce Gusto Café Caseiro Intenso Com 10 Unidades,"R$ 24,99",Dolce Gusto,Café
Pão de Forma Panco 500g,"R$ 9,89",Panco,Padaria
Bisnaguinha Panco Tradicional 300g,"R$ 8,99",Panco,Padaria
Pão de Forma Visconti Tradicional 400g,"R$ 6,99",Visconti,Padaria
Bisnaguinha Pullman Tradicional 300g,"R$ 6,48",Pullman,Padaria
Pão de Forma Visconti Integral 400g,"R$ 7,99",Visconti,Padaria
Pão de Forma Wickbold Integral 450g,"R$ 8,99",Wickbold,Padaria
Bolinho Roll Bauducco Chocolate 34g,"R$ 1,99",Bauducco,Padaria
Torrada Bauducco Integral 142g,"R$ 5,89",Bauducco,Padaria
Bisnaguinha Seven Boys Original 300g,"R$ 6,49",Seven Boys,Padaria
Pão de Forma Pullman Artesano 500g,"R$ 11,98",Pullman,Padaria
Pão de Forma Pullman Tradicional 480g,"R$ 9,98",Pullman,Padaria
Torrada Bauducco Tradicional 284g,"R$ 10,99",Bauducco,Padaria
Pão de Forma Seven Boys 450g,"R$ 7,99",Seven Boys,Padaria
Pão de Hambúrguer Tradicional Com 2 Unidades,"R$ 3,00",Leve Mais,Padaria
Pão de Milho Panco Caseiro 500g,"R$ 11,49",Panco,Padaria
Pão de Forma Wickbold Do Forno 100% Nutrição 500g,"R$ 13,59",Wickbold,Padaria
Pão de Forma Panco Sovado 500g,"R$ 14,59",Panco,Padaria
